Time,GPS Latitude,GPS Longitude,Temperature, Distance (m)
13:28:02,0.0000000,0.0000000,34.00,0.0
13:28:03,0.0000000,0.0000000,34.00,0.0
13:28:04,0.0000000,0.0000000,33.90,0.0
13:28:05,0.0000000,0.0000000,33.90,0.0
13:28:06,0.0000000,0.0000000,33.90,0.0
13:28:07,0.0000000,0.0000000,33.90,0.0
13:28:08,0.0000000,0.0000000,33.90,0.0
13:28:09,0.0000000,0.0000000,33.90,0.0
13:28:10,0.0000000,0.0000000,33.90,0.0
13:28:11,0.0000000,0.0000000,33.90,0.0
13:28:12,0.0000000,0.0000000,33.90,0.0
13:28:13,0.0000000,0.0000000,33.90,0.0
13:28:14,0.0000000,0.0000000,33.90,0.0
13:28:15,0.0000000,0.0000000,33.90,0.0
13:28:16,0.0000000,0.0000000,33.90,0.0
13:28:17,0.0000000,0.0000000,33.90,0.0
13:28:18,0.0000000,0.0000000,33.90,0.0
13:28:19,0.0000000,0.0000000,33.90,0.0
13:28:20,0.0000000,0.0000000,33.90,0.0
13:28:21,0.0000000,0.0000000,33.80,0.0
13:28:22,0.0000000,0.0000000,33.80,0.0
13:28:23,0.0000000,0.0000000,33.70,0.0
13:28:24,0.0000000,0.0000000,33.70,0.0
13:28:25,0.0000000,0.0000000,33.60,0.0
13:28:26,0.0000000,0.0000000,33.60,0.0
13:28:27,0.0000000,0.0000000,33.60,0.0
13:28:28,0.0000000,0.0000000,33.50,0.0
13:28:29,0.0000000,0.0000000,33.60,0.0
13:28:30,0.0000000,0.0000000,33.50,0.0
13:28:31,0.0000000,0.0000000,33.50,0.0
13:28:32,0.0000000,0.0000000,33.40,0.0
13:28:33,0.0000000,0.0000000,33.30,0.0
13:28:34,0.0000000,0.0000000,33.30,0.0
13:28:35,0.0000000,0.0000000,33.20,0.0
13:28:36,0.0000000,0.0000000,33.20,0.0
13:28:37,0.0000000,0.0000000,33.20,0.0
13:28:38,0.0000000,0.0000000,33.20,0.0
13:28:39,0.0000000,0.0000000,33.20,0.0
13:28:40,0.0000000,0.0000000,33.20,0.0
13:28:41,0.0000000,0.0000000,33.20,0.0
13:28:42,0.0000000,0.0000000,33.20,0.0
13:28:43,0.0000000,0.0000000,33.10,0.0
13:28:44,0.0000000,0.0000000,33.10,0.0
13:28:45,0.0000000,0.0000000,33.10,0.0
13:28:46,45.3951836,-75.7618103,33.10,0.0
13:28:47,45.3951836,-75.7618103,33.10,0.0
13:28:48,45.3951836,-75.7618103,33.20,0.0
13:28:49,45.3951836,-75.7618103,33.10,0.0
13:28:50,45.3951874,-75.7618179,33.10,0.7286943380308154
13:28:51,45.3951874,-75.7618179,33.10,0.0
13:28:52,45.3951874,-75.7618103,33.10,0.5935942503138927
13:28:53,45.3951874,-75.7618103,33.00,0.0
13:28:54,45.3951874,-75.7618103,33.10,0.0
13:28:55,45.3951874,-75.7618103,33.10,0.0
13:28:56,45.3951874,-75.7618103,33.00,0.0
13:28:57,45.3951721,-75.7618866,33.10,6.197591405725079
13:28:58,45.3951683,-75.7618942,33.10,0.7286944696727276
13:28:59,45.3951683,-75.7619019,33.10,0.6014049037763883
13:29:00,45.3951683,-75.7619019,33.10,0.0
13:29:01,45.3951683,-75.7619019,33.10,0.0
13:29:02,45.3951607,-75.7619095,33.10,1.0329179762507497
13:29:03,45.3951607,-75.7619095,33.10,0.0
13:29:04,45.3951569,-75.7619171,33.10,0.7286945663974641
13:29:05,45.3951569,-75.7619171,33.00,0.0
13:29:06,45.3951569,-75.7619171,33.00,0.0
13:29:07,45.3951530,-75.7619247,33.00,0.7352018123621958
13:29:08,45.3951492,-75.7619247,33.00,0.422659770272251
13:29:09,45.3951454,-75.7619324,32.90,0.7350710234009323
13:29:10,45.3951454,-75.7619324,32.90,0.0
13:29:11,45.3951454,-75.7619324,33.00,0.0
13:29:12,45.3951454,-75.7619324,33.00,0.0
13:29:13,45.3951530,-75.7619476,33.00,1.4573892972842417
13:29:14,45.3951607,-75.7619476,33.00,0.8564421658359371
13:29:15,45.3951607,-75.7619476,33.00,0.0
