Time,GPS Latitude,GPS Longitude,Temperature
11:51:55,34.1410370,-118.1500397,31.10
11:51:56,34.1410332,-118.1500397,31.10
11:51:57,34.1410255,-118.1500397,31.10
11:51:58,34.1410294,-118.1500397,31.00
11:51:59,34.1410294,-118.1500397,31.00
11:52:00,34.1410332,-118.1500473,31.00
11:52:01,34.1410294,-118.1500473,31.00
11:52:02,34.1410370,-118.1500549,31.00
11:52:03,34.1410408,-118.1500549,31.00
11:52:04,34.1410408,-118.1500549,31.00
11:52:05,34.1410408,-118.1500549,30.90
11:52:06,34.1410599,-118.1500778,31.00
11:52:07,34.1410561,-118.1500702,30.90
11:52:08,34.1410561,-118.1500702,30.90
11:52:09,34.1410561,-118.1500702,30.90
11:52:10,34.1410561,-118.1500702,30.90
11:52:11,34.1410561,-118.1500702,30.90
11:52:12,34.1410522,-118.1500702,30.90
11:52:13,34.1410522,-118.1500702,30.80
11:52:14,34.1410561,-118.1500702,30.80
11:52:15,34.1410561,-118.1500702,30.80
11:52:16,34.1410522,-118.1500626,30.80
11:52:17,34.1410484,-118.1500626,30.80
11:52:18,34.1410522,-118.1500626,30.80
11:52:19,34.1410522,-118.1500626,30.80
11:52:20,34.1410561,-118.1500626,30.80
11:52:21,34.1410561,-118.1500626,30.70
11:52:22,34.1410561,-118.1500626,30.70
11:52:23,34.1410561,-118.1500626,30.70
11:52:24,34.1410599,-118.1500702,30.60
11:52:25,34.1410599,-118.1500702,30.60
11:52:26,34.1410637,-118.1500778,30.60
11:52:27,34.1410637,-118.1500778,30.60
11:52:28,34.1410637,-118.1500778,30.60
11:52:29,34.1410637,-118.1500778,30.60
11:52:30,34.1410675,-118.1500778,30.60
11:52:31,34.1410675,-118.1500778,30.60
11:52:32,34.1410675,-118.1500778,30.50
11:52:49,34.1410713,-118.1500854,30.30
11:52:50,34.1410751,-118.1500854,30.30
11:52:51,34.1410751,-118.1500854,30.30
11:52:52,34.1410751,-118.1500854,30.30
11:52:53,34.1410751,-118.1500854,30.20
11:52:54,34.1410828,-118.1500931,30.30
11:52:55,34.1410828,-118.1500931,30.20
11:52:56,34.1410866,-118.1500931,30.20
11:52:57,34.1410866,-118.1500931,30.20
11:52:58,34.1410866,-118.1500931,30.20
11:52:59,34.1410866,-118.1500931,30.20
11:53:00,34.1410866,-118.1500931,30.20
11:53:01,34.1410866,-118.1500931,30.20
11:53:02,34.1410866,-118.1500931,30.20
11:53:03,34.1410866,-118.1500931,30.10
